t,q1,q2,q3,q4,q5,q6
0.71,-0.62259735737074,-1.41341008213928,2.63030151449103,-2.78768778373769,-1.57079629056209,0.948198984162453
0.72,-0.622597357110523,-1.407849551555,2.6318122697466,-2.79475906954444,-1.57079629074955,0.948198984625024
0.73,-0.622597356907352,-1.40228888108871,2.63330805457877,-2.80181552476495,-1.57079629102319,0.94819898499835
0.74,-0.622597356782404,-1.39673675178037,2.63478093621706,-2.80884053557208,-1.57079629141457,0.948198985249109
0.75,-0.622597356752217,-1.39120712110249,2.63622276699008,-2.81581199680886,-1.57079629194799,0.948198985351124
0.76,-0.622597356829001,-1.38571865966222,2.63762525587842,-2.82270294683901,-1.57079629264096,0.948198985284886
0.77,-0.622597357020947,-1.38029418790349,2.63898004006747,-2.82948220239744,-1.57079629350472,0.948198985037081
0.78,-0.622597357332541,-1.37496011280912,2.64027875650032,-2.83611499344075,-1.57079629454474,0.948198984600116
0.79,-0.622597357764871,-1.36974586460293,2.64151311343062,-2.84256359799774,-1.57079629576121,0.948198983971647
0.8,-0.622597358315938,-1.36468333345189,2.64267496197541,-2.8487879770199,-1.57079629714952,0.948198983154105
0.81,-0.622597358980967,-1.3598063061682,2.64375636766803,-2.85474640923194,-1.57079629870079,0.948198982154222
0.82,-0.62259735975272,-1.35514990291143,2.64474968201096,-2.86039612598225,-1.57079630040233,0.94819898098256
0.83,-0.6225973606218,-1.35075001389063,2.64564761402868,-2.86569394609346,-1.57079630223819,0.948198979653034
0.84,-0.622597361576969,-1.34664273606646,2.64644330182055,-2.87059691071291,-1.57079630418957,0.948198978182442
0.85,-0.622597362605452,-1.3428638098533,2.64713038411365,-2.87506291816316,-1.57079630623543,0.948198976589988
0.86,-0.622597363693253,-1.33944805582138,2.64770307181569,-2.8790513587925,-1.57079630835288,0.948198974896813
0.87,-0.622597364825459,-1.33642881139886,2.64815621956781,-2.88252374982544,-1.57079631051776,0.948198973125517
0.88,-0.622597365986557,-1.33383736757401,2.64848539729749,-2.88544437021324,-1.57079631270506,0.948198971299689
0.89,-0.622597367160741,-1.33170240559729,2.64868696177142,-2.88778089548437,-1.57079631488949,0.948198969443434
0.9,-0.622597368332223,-1.33004943368347,2.6487581281483,-2.88950503259508,-1.57079631704594,0.948198967580895
0.91,-0.622597369485542,-1.32890022371374,2.64869704153181,-2.89059315477985,-1.57079631914997,0.948198965735786
0.92,-0.622597370605877,-1.32827224793788,2.64850284852336,-2.8910269364019,-1.57079632117833,0.948198963930912
0.93,-0.622597371679356,-1.3281781156763,2.64817576877504,-2.89079398780373,-1.57079632310943,0.948198962187701
0.94,-0.622597372693368,-1.32862501002223,2.64771716654243,-2.88988849015758,-1.57079632492387,0.948198960525728
0.95,-0.622597373636869,-1.3296141245438,2.64712962223751,-2.88831183031597,-1.5707963266049,0.948198958962243
0.96,-0.6225973745007,-1.33114009998617,2.64641700398148,-2.88607323566217,-1.57079632813896,0.948198957511696
0.97,-0.622597375277888,-1.33319046097363,2.64558453915765,-2.88319040896074,-1.57079632951613,0.948198956185263
0.98,-0.622597375963966,-1.33574505271177,2.6446388859643,-2.87969016320801,-1.57079633073066,0.948198954990377
0.99,-0.622597376557275,-1.33877547768953,2.64358820496754,-2.8756090564826,-1.57079633178146,0.948198953930249
1,-0.622597377059282,-1.34224453238138,2.64244223065418,-2.8709940267959,-1.57079633267258,0.948198953003398
1.01,-0.622597377474884,-1.34610564394938,2.64121234298458,-2.8659030269426,-1.57079633341373,0.948198952203177
1.02,-0.622597377812722,-1.35030230694535,2.63991163894552,-2.8604056593512,-1.57079633402077,0.948198951517299
1.03,-0.622597378085491,-1.35476752001299,2.6385550041031,-2.85458381093447,-1.5707963345162,0.948198950927365
1.04,-0.62259737831025,-1.35942322258993,2.63715918415553,-2.84853228794,-1.57079633492966,0.948198950408389
1.05,-0.622597378508731,-1.36417973160993,2.63574285648606,-2.84235945080068,-1.57079633529842,0.948198949928325
1.06,-0.62259737870001,-1.36901810733254,2.63430593665063,-2.83608415479718,-1.57079633565319,0.94819894945754
1.07,-0.622597378876895,-1.37421959890374,2.63277281035131,-2.82934953648588,-1.5707963359735,0.948198949000213
1.08,-0.62259737902724,-1.38008556885249,2.63106371254007,-2.82177446829397,-1.57079633623033,0.94819894856785
