t,force,peak_force,contact_count,success,hammer_x,hammer_y,hammer_z
0.725,269.5356095497553,270.3880163866041,1,1.0,0.3048295655966275,-0.08445895408375496,0.07416867273489244
0.73,270.29417011887136,270.3880163866041,1,1.0,0.30471746362262125,-0.08437838661480851,0.0735080177816902
0.735,269.75139080301915,270.3880163866041,1,1.0,0.3046058259809629,-0.08429824924741873,0.07285038986558708
0.74,269.5580174340532,270.3880163866041,1,1.0,0.30449339493445493,-0.0842174288601279,0.07219472986839022
0.745,268.1394694409524,270.3880163866041,1,1.0,0.30438047966415815,-0.08414188533492539,0.07154477271056017
0.75,266.0243851592716,270.3880163866041,1,1.0,0.30426182753959863,-0.08406042633893739,0.07089667144152147
0.755,262.93273730120796,270.3880163866041,1,1.0,0.3041518111233954,-0.08398424457865807,0.07025391551733845
0.76,261.314034007643,270.3880163866041,1,1.0,0.3040377339839916,-0.0839066533752924,0.06961473770728299
0.765,256.4063103440116,270.3880163866041,1,1.0,0.3039313900628412,-0.08383161040059676,0.06898233852262521
0.77,254.07882676091532,270.3880163866041,1,1.0,0.30382295006225796,-0.08375366313003299,0.06835455811206587
0.775,248.52920360876308,270.3880163866041,1,1.0,0.3037225146318385,-0.08368119845630051,0.06773639777777558
0.78,244.32960351686788,270.3880163866041,1,1.0,0.3036181423756216,-0.08360496919731815,0.0671234349598765
0.785,237.26154320510457,270.3880163866041,1,1.0,0.303517208538032,-0.08353626237266444,0.06652224232032963
0.79,233.5072458677753,270.3880163866041,1,1.0,0.3034187749965901,-0.08346812134135612,0.06592652091326065
0.795,225.1143225924938,270.3880163866041,1,1.0,0.3033263604763228,-0.08340186843933324,0.06534542229546338
0.8,221.01274370108945,270.3880163866041,1,1.0,0.3032326836302438,-0.08333580231890382,0.0647714964914246
0.805,210.0612592488827,270.3880163866041,1,1.0,0.3031475029078384,-0.08327593087233025,0.064214634086099
0.81,206.3191695587976,270.3880163866041,1,1.0,0.30305823167633433,-0.0832124025124898,0.06366527045056297
0.8150000000000001,194.3102048357641,270.3880163866041,1,1.0,0.302978784531844,-0.08315683586338636,0.06313573502592221
0.8200000000000001,189.57534343913025,270.3880163866041,1,1.0,0.3028959216744055,-0.08309765971542393,0.06261462720268021
0.8250000000000001,176.77593174411928,270.3880163866041,1,1.0,0.3028220078351193,-0.08304602282002393,0.06211605584536194
0.8300000000000001,172.2723883752215,270.3880163866041,1,1.0,0.3027498589315593,-0.08299574962041822,0.06162690944746841
0.835,158.47693148772822,270.3880163866041,1,1.0,0.3026878886467004,-0.08295153060776381,0.06116292120049047
0.84,153.56549375456842,270.3880163866041,1,1.0,0.30262831804115775,-0.08290891169804945,0.06070976474225103
0.845,138.83052759441455,270.3880163866041,1,1.0,0.30257559037204,-0.08287113796787746,0.06028396865526684
0.85,133.93998441082522,270.3880163866041,1,1.0,0.30252548668729723,-0.08283526411457735,0.05986996939610669
0.855,0,270.3880163866041,0,1.0,0.30248430128898696,-0.08279832886362964,0.05948546595733178
0.86,0,270.3880163866041,0,1.0,0.30244604729136504,-0.08276513257773384,0.059114109232756194
0.865,0,270.3880163866041,0,1.0,0.302414972495278,-0.08274090607038519,0.05877504435051208
0.87,0,270.3880163866041,0,1.0,0.30238610095616164,-0.08272050895386164,0.05844956929758706
0.875,0,270.3880163866041,0,1.0,0.3023680465472338,-0.0827045574601613,0.0581599872493719
0.88,0,270.3880163866041,0,1.0,0.30235169432916653,-0.08269144351748328,0.057883668493714686
0.885,0,270.3880163866041,0,1.0,0.30234828029395794,-0.08268458180272087,0.05764557707568922
0.89,0,270.3880163866041,0,1.0,0.3023452783276429,-0.08268053466714856,0.057421034249121296
0.895,0,270.3880163866041,0,1.0,0.3023506077917704,-0.08268120140548046,0.05723204475733206
0.9,0,270.3880163866041,0,1.0,0.30236120074858264,-0.0826870185798551,0.05706122096592505
0.905,0,270.3880163866041,0,1.0,0.30236615476160567,-0.08269541450497656,0.056930928633639834
0.91,0,270.3880163866041,0,1.0,0.30237740427104504,-0.082707660572484,0.05681721537766494
0.915,0,270.3880163866041,0,1.0,0.3024092448442311,-0.08272781082998354,0.05674468633248747
